species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Triportheus_albus,2.647765e+00,4.832170e+02,2.000000e-01,3.900000e-03,3.400000e+01,2.000000e+02,4.138927e+02,2.976500e+02,True,9.109464e+03,2.708500e-01,1.588600e-02,1.749782e-02,8.023312e-01,6.609952e-06,3.115000e+04,2.000000e-03,9.408609e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,train
Triportheus_angulatus,1.985823e+00,4.832170e+02,2.000000e-01,3.900000e-03,5.828000e+01,2.110000e+02,4.138927e+02,2.976500e+02,True,1.632338e+04,1.483500e-01,1.824400e-02,2.246160e-02,2.929852e-01,7.952814e-06,4.069000e+04,2.000000e-03,7.036050e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,val
Triportheus_elongatus,1.985823e+00,4.832170e+02,2.000000e-01,3.900000e-03,4.655000e+01,1.644400e+02,4.138927e+02,2.976500e+02,True,1.612838e+04,2.007800e-01,1.746600e-02,2.419225e-02,3.748204e-01,7.789969e-06,4.466000e+04,2.000000e-03,7.583170e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,train
Tritia_reticulatus,2.187988e+01,3.726873e+03,1.500000e-01,9.130274e-07,2.991808e-02,3.400000e+00,1.972163e+00,2.891500e+02,True,7.459437e+00,6.000000e-04,3.895100e-03,4.516056e-03,3.190741e-02,1.262204e-03,5.408000e-02,2.000000e-03,3.183036e-01,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,test
Tritogonia_verrucosa,1.458659e+01,5.807853e+03,9.000000e-02,2.877100e-07,7.768169e+00,5.760000e+01,2.376093e+02,2.901500e+02,True,2.042103e+01,2.000000e-03,1.832500e-02,1.102875e-01,9.953154e-01,2.547335e-08,2.514000e+01,2.000000e-03,9.984365e-01,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,train
Triturus_cristatus,5.375850e+01,2.197648e+04,2.800000e-01,3.500000e-03,1.350000e+00,1.060000e+01,7.644538e-01,2.831500e+02,False,1.559882e+02,1.992700e-01,4.316600e-02,4.432224e-02,1.000000e+00,1.648531e-03,2.518000e+03,2.000000e-03,1.000000e+00,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,False,True,train
Triturus_dobrogicus,4.873792e+01,7.827311e+03,2.800000e-01,3.500000e-03,1.720210e+00,1.060000e+01,2.810672e-01,2.861500e+02,False,8.430099e+01,9.719000e-02,4.517500e-02,7.660302e-02,1.000000e+00,1.680818e-03,1.272000e+03,2.000000e-03,1.000000e+00,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,train
Triturus_karelinii,4.873792e+01,7.827311e+03,2.800000e-01,3.500000e-03,1.720000e+00,1.060000e+01,8.432015e-01,2.861500e+02,False,1.059327e+02,2.811200e-01,4.404700e-02,8.492912e-02,1.000000e+00,1.447740e-03,5.023000e+03,2.000000e-03,1.000000e+00,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,train
Trochalopteron_elliotii,2.245595e+00,6.658494e+02,2.800000e-01,1.500000e+00,4.275000e+01,4.500000e+01,9.011046e-02,3.147500e+02,False,1.158986e+03,7.610000e-03,3.996900e-02,5.238645e-01,1.000000e+00,3.124615e-02,8.113000e+02,2.314400e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,train
Troglodytes_aedon,2.653885e+00,3.995097e+02,2.800000e-01,1.500000e+00,1.472500e+01,1.550000e+01,3.153866e-01,3.147500e+02,False,1.061817e+03,1.829800e-01,3.446500e-02,8.251975e-01,1.000000e+00,6.052550e-02,1.294000e+04,2.506100e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,val
