species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Cuthona_nana,4.732608e+01,2.602935e+02,2.957880e+02,1.500000e-01,2.145000e-06,1.400000e-01,1.081856e+02,2.851500e+02,True,False,6.029779e+01,7.195500e-01,2.530900e-03,1.716337e+03,2.901000e-04,1.183671e-04,7.165000e+00,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Cyprideis_torosa,1.605659e+01,1.766225e+02,5.860656e+02,1.700000e-01,2.647059e-07,1.176471e-04,6.227972e-02,2.881500e+02,True,False,6.367405e+00,9.901000e-01,4.121000e-03,2.588000e+02,2.150000e-06,2.251710e-03,4.239000e-03,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True,False
Cyprinodon_bovinus,3.796606e+00,1.024962e+02,3.397712e+02,2.000000e-01,1.400000e-03,3.820000e+00,4.525205e+00,3.011500e+02,True,False,7.574190e+01,9.474000e-01,2.756500e-02,5.249680e+01,7.047000e-08,8.400146e-04,2.744000e+02,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True
Cyprinodon_diabolis,2.105391e+00,1.894852e+01,1.097811e+02,2.000000e-01,5.200000e-04,3.700000e-01,1.038999e+01,3.066500e+02,True,False,1.482893e+01,6.002900e-01,1.696200e-02,2.034990e+01,6.131000e-08,7.362899e-02,2.097000e+01,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Cyprinodon_elegans,5.000000e+00,1.550000e+02,1.277500e+03,2.000000e-01,5.200000e-04,3.820000e+00,4.456959e+00,2.931500e+02,True,False,6.339052e+01,9.642800e-01,6.523100e-02,6.210120e+01,3.108000e-08,1.131525e-03,7.299000e+01,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Cyprinodon_macularius,1.000000e+01,1.000000e+02,1.095000e+03,2.000000e-01,5.200000e-04,7.400000e+00,2.191781e+00,2.931500e+02,True,False,2.964423e+01,9.740600e-01,3.396900e-02,3.974790e+01,6.947000e-08,9.507021e-03,6.552000e+00,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Cyprinodon_nevadensis,3.727034e+00,7.997703e+01,3.650000e+02,2.000000e-01,5.200000e-04,8.000000e+00,2.191781e+00,2.931500e+02,True,False,2.049570e+01,9.413900e-01,1.181300e-02,1.723180e+01,8.098000e-06,9.813463e-02,1.233000e+00,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Cyprinodon_variegatus,3.796606e+00,3.699081e+01,6.057942e+02,2.000000e-01,1.200000e-03,7.910156e+00,3.961741e+00,2.996500e+02,True,False,7.220810e+01,9.924500e-01,3.984100e-02,1.016582e+02,9.394000e-09,1.112962e-03,3.541000e+01,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
Danio_rerio,3.163838e+00,4.537285e+01,9.501580e+02,2.000000e-01,5.120000e-04,1.000000e+00,4.148784e+02,2.931500e+02,True,False,1.507237e+02,3.575600e-01,1.960000e-02,2.430010e+02,8.970000e-10,3.356629e-04,2.361000e+03,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Dicologlossa_cuneata,2.417713e+00,1.130281e+03,2.647396e+03,2.000000e-01,1.380000e-04,9.921000e+01,9.624797e+01,2.913500e+02,True,False,3.641489e+01,9.353800e-01,2.161900e-02,2.613100e+01,3.979000e-08,3.008361e-06,1.196000e+04,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Dissodactylus_primitivus,9.444815e+00,1.305322e+02,1.060725e+03,1.700000e-01,9.400000e-05,2.000000e-01,8.258500e+00,3.011500e+02,True,False,1.061496e+01,8.000000e-01,2.005700e-02,2.111590e+01,9.208000e-10,1.541589e-03,5.386000e+01,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
Dissostichus_eleginoides,9.115807e+02,2.051927e+04,1.225481e+05,2.000000e-01,4.770000e-02,1.570000e+05,2.226330e+02,2.776500e+02,True,False,3.641651e+04,2.673600e-01,2.553200e-02,1.420904e+03,5.706000e-08,3.436343e-07,8.640000e+06,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Dissostichus_mawsoni,5.531569e+02,1.929967e+04,9.138925e+04,2.000000e-01,4.770000e-02,1.210000e+05,5.732821e+02,2.744500e+02,True,False,4.042186e+03,4.500000e-01,2.848100e-02,3.790260e+02,6.437000e-08,1.041481e-07,7.184000e+07,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Engraulis_encrasicolus,6.727388e+00,5.215647e+02,4.134504e+03,2.000000e-01,1.207863e-05,4.386146e+01,5.038684e+02,2.881500e+02,True,False,1.113720e+01,9.901000e-01,1.944000e-02,5.467000e+01,8.464000e-08,5.012295e-07,2.440000e+02,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Enteromius_liberiensis,6.233082e+00,2.590192e+02,2.022289e+03,2.000000e-01,1.000000e-03,2.380000e+01,1.977957e+00,2.971500e+02,True,False,5.079807e+01,9.886700e-01,2.765400e-02,2.964030e+01,3.494000e-09,1.672594e-04,2.587000e+02,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Etheostoma_trisella,6.451020e+01,2.376759e+02,4.989907e+02,2.000000e-01,5.200000e-04,9.600000e-01,4.629345e-01,2.941500e+02,True,False,3.500110e+01,9.800200e-01,2.237700e-02,8.365470e+01,3.609000e-07,1.435176e-03,3.093000e+01,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
