Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Pagurus_bernhardus,0.299519564269473,0.407566617261816,0.999896126519659,0.0205180457114311,94.9504584950077,5.73672794884863e-06,2.6138814843336,0.0718778806076819,0.410435816949357,0.999894142476311,0.0205152867277462,94.2394930991177,5.87897189256936e-06,4.6541846738418,0,3,1500,39.061884,0,""
Emydocephalus_ijimae,3.03490683736018,4.58656189045241,0.881552217209896,0.0211404278527318,134.467699660697,8019.61893632267,64697.0342071567,3.03490683735167,4.58658642970907,0.881551912479539,0.021140625267202,134.46564059888,8019.72117913757,64697.4650465244,0,1,500,24.6767273,0,""
Boops_boops,0.224840627976382,4.83611793883128,0.751312784621195,0.0695963111287591,42.6734515426566,0.436061166432646,71651.6532443296,0.223308963329384,3.85272169412105,0.745976324174869,0.0817985018489836,36.1323982433511,0.560776519330313,85750.1978834802,0,4,2000,72.7117485,0,""
Mustelus_antarcticus,0.0491488558931953,18.7933046759845,0.791653882875604,0.0449822814261392,23.3878857703496,58135.3389125977,5069536.65538984,0.0491485395301967,18.789959482003,0.792123924352191,0.044943676225052,23.4156686004489,57848.2876400967,5054525.50744742,0,1,500,41.289306,0,""
Rhodeus_ocellatus,0.148971829478069,1.43911266312744,0.869093133934708,0.0232824769903847,32.0617991401813,1.05524894994678,303.093049783534,0.0759059726623305,1.68152590039249,0.779225474490334,0.0217627455450994,21.9065687550386,2.08127879948624,664.220968412751,0,4,2000,77.2423024,0,""
Emys_orbicularis,0.0415819216260474,10.886140771604,0.967859279396409,0.0205587791198664,24.2769724457644,501.708122747251,145823.950787253,0.0415819216260472,10.886140763097,0.967859279397197,0.0205587791295759,24.2769724502804,501.708121916489,145823.9497784,1,1,403,17.721433,0,""
Fulica_americana,0.114754507871863,2.13049684598514,0.553603460057435,0.0188313149989449,1811.47466457869,5569.57908766424,175417.570853103,0.11473405724156,2.13300847157633,0.553314709319068,0.0188784835166156,1812.08431743569,5579.89063877556,176091.314404959,0,1,500,31.4164123,0,""
Synodontis_clarias,0.015332812162559,3.78126978037986,0.964250661031576,0.020968814633148,20.4212275071498,0.0554810413860843,14076.2143065254,0.0150378466239986,3.75506710687723,0.964131760820054,0.0209273017267901,20.4991547630614,0.0557186845617008,14526.2857604411,0,2,1000,49.6558298,0,""
Galeocerdo_cuvier,0.213202585863842,47.2016766910245,0.976895406622132,0.0217299848991256,19.7419900740198,14968.7812465756,3103498.34750153,0.213202585738365,47.2016463376972,0.976894969668776,0.0217300144870968,19.7420195234786,14969.1701215689,3103559.20621544,0,1,500,15.8268227,0,""
Upupa_epops,0.125613238536467,1.67268084553612,0.813361153198013,0.0248950168670295,1173.72487137507,989.432552457352,22700.9869897922,0.125540683710749,1.66960738319083,0.81087044592842,0.0250498600977235,1191.77226840199,998.491873097531,23028.7124328347,0,1,500,36.7069173,0,""
