Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Equulites_lineolatus,0.0101011427587827,2.6987,0.96133,0.021427,22.5369,0.03454,538.6,0.00592614988546588,1.71997888142451,0.961004139812909,0.021427,19.175525406102,0.0424318666777034,685.719379339477,0,6,3000,89.7106978,0,
Eurycea_longicauda,0.0855185775716716,1.2479,0.72149,0.021842,98.2437,32.57,3155,0.056198239040881,1.43068793938698,0.479894493444551,0.0295290874877739,34.4237578931296,112.953765290913,9447.91470159616,0,5,2500,70.9062723,0,
Flavocaranx_bajad,0.0316909468283243,7.8023,0.88415,0.021995,13.4414,0.1917,105600,0.0129862584001676,8.26047485734872,0.911338055436741,0.019609723263226,17.4485003534518,0.0973422003968648,73296.6772991575,0,6,3000,87.7016832,0,
Gammarus_roeselii,0.849927690810946,0.095821,0.82791,0.013846,398.5945,0.08377,12.65,0.654040602010289,0.0951811723868858,0.830979488114889,0.0137631072773792,399.686586393959,0.0830456177366325,12.8889332714476,1,2,709,118.1360716,0,
Glossogobius_giuris,0.00781366337991933,7.8279,0.92,0.016373,14.3331,0.02786,1217,0.00781365578180605,7.82785264163218,0.92,0.0163725532623498,14.3330769568279,0.0278576346810024,1216.9678586798,1,1,325,8.9625752,0,
Gnathanodon_speciosus,0.0100637051057765,8.885,0.99087,0.024463,19.6684,0.009933,10090,0.00901517396340086,8.79122620806741,0.990762994538107,0.0235794778289986,19.7611175320843,0.00982458973651022,10633.5114660825,1,3,1023,82.9418871,0,
Gobionellus_microdon,0.103317340797476,1.8297,0.92,0.011309,207.3374,0.008521,931,0.0455684755022601,2.99536161504044,0.92,0.0287436944098081,43.0551569979872,0.0356425182185062,1534.76470906868,1,2,999,26.0819738,0,
Gobius_ophiocephalus,0.0302875988518983,5.0069,0.95933,0.025414,25.3317,0.01674,3296,0.0302875883508871,5.00693002061873,0.959332329817357,0.025414,25.331608808224,0.0167401258267096,3295.66949706837,1,1,443,11.6175914,0,
Gobius_vittatus,0.234624360263139,0.61535,0.96447,0.014527,700.6875,0.004245,32.68,0.234596589358558,0.617702958524028,0.964652429694671,0.0146755497617491,696.317518018092,0.00426125943363836,32.68,0,1,500,14.4959754,0,
Harengula_clupeola,0.0811145164990334,3.516,0.35845,0.017444,12.3529,8.395,78280,0.0795873053895895,3.50496185370604,0.363462563581155,0.0171838055245723,12.5567911385479,8.15192909723136,79735.973241766,0,2,1000,63.136517,0,
