species,ab,ap,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,foetus,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp,Wwj,E_Hj,Wwx,E_Hx,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Paleosuchus_palpebrosus,4.058794e+01,2.214747e+03,1.467270e+04,3.000000e-01,5.000000e+01,4.915794e+03,1.200000e+04,1.228131e-01,2.951500e+02,False,False,False,3.399343e+02,5.596000e-01,3.820000e-02,1.088020e+01,1.168000e-10,1.354000e+05,2.202000e+07,,,,,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
Bombina_bombina,7.685384e+00,1.944364e+03,1.291119e+04,2.800000e-01,1.700000e-03,4.100000e+00,1.390000e+01,1.549044e+00,2.901500e+02,False,False,False,1.236901e+02,8.614300e-01,7.201800e-02,4.897290e+01,1.805000e-09,1.480000e+00,7.888000e+03,1.800000e-01,1.890000e+02,,,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
Macroramphosus_gracilis,9.481282e+00,7.978863e+02,2.662052e+03,2.000000e-01,3.800000e-04,3.400000e+00,3.320000e+01,2.605133e+01,2.891500e+02,False,False,False,1.105432e+02,8.500000e-01,5.755000e-02,3.289400e+01,1.082000e-07,2.485000e-01,3.123000e+03,,,,,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Stagnicola_palustris,1.200000e+01,6.400000e+01,3.600000e+02,1.500000e-01,5.970000e-05,1.300000e-01,2.467000e-01,2.304151e+01,2.931500e+02,True,False,False,8.558485e+01,8.959000e-01,1.722000e-02,1.031000e+03,3.907000e-07,1.628000e-02,1.155000e+02,1.404000e-02,6.194000e+00,,,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False
Liopholis_striata,2.930313e+01,2.722749e+02,2.350935e+03,3.000000e-01,2.327500e+00,1.881703e+01,4.056377e+01,3.402902e-02,2.981500e+02,False,False,False,9.099490e+01,5.711000e-01,4.310200e-02,1.479830e+01,1.860000e-09,1.164000e+04,1.332000e+05,,,,,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Channa_punctata,5.291711e-01,1.931475e+02,5.820882e+02,2.000000e-01,5.000000e-04,2.800000e+01,3.000000e+02,8.219178e+01,3.001500e+02,False,False,False,9.746243e+01,9.969600e-01,4.454000e-02,1.648840e+01,6.290500e-08,2.370400e-04,3.459327e+02,,,,,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Latimeria_chalumnae,7.552162e+02,1.032895e+04,3.098686e+04,2.000000e-01,4.736290e+02,3.426136e+04,8.000000e+04,2.317217e-02,2.871500e+02,False,False,False,7.163132e+02,7.252800e-01,4.782800e-02,1.905950e+01,2.503900e-09,1.256046e+05,2.745544e+07,,,,,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Leucoraja_naevus,1.372500e+02,3.422250e+03,5.110000e+03,2.000000e-01,7.000000e+00,1.161000e+03,3.326000e+03,2.465753e-01,2.931500e+02,False,False,False,3.279307e+02,3.982600e-01,3.006100e-02,1.324010e+01,1.050000e-08,1.541000e+04,3.633000e+06,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
Pagurus_bernhardus,1.169902e+03,2.126794e+03,3.827565e+03,1.700000e-01,1.800000e-05,5.000000e+00,5.400000e+01,6.270305e-01,2.831500e+02,True,False,False,3.868353e+01,9.999000e-01,2.051500e-02,9.423950e+01,4.945000e-07,5.814000e-06,2.621000e+00,1.000000e-02,3.228000e-03,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Gallotia_stehlini,3.878362e+01,7.659765e+02,3.012656e+03,3.000000e-01,2.120000e+00,3.688281e+01,8.800000e+01,3.876795e-02,2.971500e+02,False,False,False,1.155987e+02,5.945000e-01,6.154800e-02,1.674670e+01,1.147000e-09,8.602000e+03,1.453000e+05,,,,,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Gopherus_morafkai,4.796528e+01,4.092543e+03,2.022289e+04,3.000000e-01,2.240000e+01,2.207524e+03,4.200000e+03,2.057075e-02,2.971500e+02,False,False,False,9.908214e+01,8.524500e-01,3.194200e-02,5.815700e+00,2.587000e-11,2.088000e+04,4.976000e+06,,,,,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
