species,Wwi,d_V,genus,family,order,class,phylum,p_Am,kap,v,p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,metamorphosis,estim_k_J,data_split
Cypseloides_fumigatus,4.4000000000e+01,2.8000000000e-01,Cypseloides,Apodidae,Apodiformes,Aves,Chordata,5.4636314012e+02,9.1655102330e-01,2.6482209766e-02,2.2871995000e+02,1.3728752328e+03,1.3728752330e+03,2.0694174196e+04,9.4596457097e-03,1.0000000000e+00,False,True,train
Cypseloides_niger,4.4200000000e+01,2.8000000000e-01,Cypseloides,Apodidae,Apodiformes,Aves,Chordata,9.0100363354e+02,9.4424489133e-01,2.2006492629e-02,4.6903717210e+02,4.1887391950e+02,4.1887391955e+02,7.7722238464e+03,1.9309477796e-02,1.0000000000e+00,False,True,val
Cypsiurus_balasiensis,1.3600000000e+01,2.8000000000e-01,Cypsiurus,Apodidae,Apodiformes,Aves,Chordata,4.8352759651e+01,9.6665574786e-01,4.2502062965e-02,2.0672381786e+01,2.1349724972e+02,2.1349724974e+02,1.1140943014e+03,8.4492105334e-04,1.0000000000e+00,False,True,test
Cypsnagra_hirundinacea,3.1300000000e+01,2.8000000000e-01,Cypsnagra,Thraupidae,Passeriformes,Aves,Chordata,2.3048721819e+03,9.6618493539e-01,2.2695070530e-02,1.8072062142e+03,1.0782577377e+02,1.0782577378e+02,1.1355025319e+03,7.4097309838e-02,1.0000000000e+00,False,True,val
Cyrtonyx_montezumae,2.3000000000e+02,2.8000000000e-01,Cyrtonyx,Odontophoridae,Galliformes,Aves,Chordata,2.3210200041e+03,9.2943000000e-01,2.1057000000e-02,8.9289140000e+02,5.9292735938e+02,5.9292735943e+02,1.7197722546e+04,3.6643000000e-02,1.0000000000e+00,False,True,train
Dalatias_licha,4.9700000000e+04,2.0000000000e-01,Dalatias,Dalatiidae,Squaliformes,Chondrichthyes,Chordata,3.0012476011e+03,8.9386309898e-01,4.3304249852e-02,1.8949330000e+02,3.2660105590e+04,3.2660105594e+04,6.0070842398e+06,2.0000000000e-03,1.0000000000e+00,False,False,train
Danio_rerio,1.0000000000e+00,2.0000000000e-01,Danio,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,1.5091049137e+02,3.5759279810e-01,1.9569032395e-02,2.4336088208e+02,7.9178859838e-01,3.7108817464e+01,2.4376219903e+03,2.0000000000e-03,3.4151542094e+00,True,False,train
Daphnia_cephalata,3.9764705882e-03,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,2.5168802811e+02,8.0684489434e-01,2.5954000000e-02,1.9450257265e+03,1.9181165091e-02,1.9181165093e-02,2.1044514052e-01,2.0000000000e-03,1.0000000000e+00,False,False,test
Daphnia_cucullata,1.3823529412e-04,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,7.1867230300e+01,8.0067266141e-01,1.9366163959e-02,1.4000000000e+03,8.8719530418e-04,8.8719530427e-04,1.3938970455e-02,2.0000000000e-03,1.0000000000e+00,False,False,train
Daphnia_longispina,1.1705882353e-03,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,5.4888659895e+02,5.6693101266e-01,1.9618674528e-02,5.7581266229e+03,1.5819195482e-02,1.5819195484e-02,1.3515512912e+00,2.0000000000e-03,1.0000000000e+00,False,False,train
Daphnia_mendotae,2.3235294118e-04,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,1.3370078628e+02,8.8172462918e-01,2.0283282345e-02,2.6659266442e+03,2.7748948816e-03,2.7748948819e-03,2.0585473484e-02,2.0000000000e-03,1.0000000000e+00,False,False,train
Daphnia_obtusa,1.2235294118e-03,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,2.7414099844e+02,7.1809525039e-01,1.7103805436e-02,3.1621574978e+03,4.8747422703e-03,4.8747422708e-03,1.8237877179e-01,2.0000000000e-03,1.0000000000e+00,False,False,test
Daphnia_projecta,7.4117647059e-04,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,1.3126409277e+02,8.2721736316e-01,1.7413508637e-02,1.7136846000e+03,9.3322581965e-03,9.3322581974e-03,1.0703395198e-01,2.0000000000e-03,1.0000000000e+00,False,False,train
Daphnia_pulex,1.0000000000e-02,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,5.2061839721e+02,4.3784712822e-01,4.8887319454e-02,1.5987804517e+03,2.6000370350e-01,2.6000370352e-01,3.9258040096e+00,2.0000000000e-03,1.0000000000e+00,False,False,train
Daphnia_similus,2.4705882353e-02,1.7000000000e-01,Daphnia,Daphniidae,Anomopoda,Branchiopoda,Arthropoda,2.4714096856e+02,9.6811518196e-01,2.6977000000e-02,1.2309424122e+03,1.2536266361e-03,1.2536266362e-03,3.2720321355e-02,2.0000000000e-03,1.0000000000e+00,False,False,train
Daption_capense,7.0000000000e+02,2.8000000000e-01,Daption,Procellariidae,Procellariiformes,Aves,Chordata,1.7890622933e+03,9.7206116104e-01,2.3113855111e-02,4.6041426893e+02,1.9408245859e+03,1.9408245861e+03,2.7771087271e+04,1.8880020776e-02,1.0000000000e+00,False,True,train
Dascyllus_albisella,4.3600000000e+01,2.0000000000e-01,Dascyllus,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,3.0806771179e+01,9.4947867313e-01,2.1615039545e-02,4.3232031761e+01,1.9626788716e-02,2.1957794177e+00,2.1004675789e+03,2.0000000000e-03,4.7564587331e+00,True,False,train
Dascyllus_aruanus,2.0000000000e+01,2.0000000000e-01,Dascyllus,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,3.7748115581e+01,9.9890187165e-01,2.2358530308e-02,8.3167546238e+01,3.9663757037e-04,6.7181656526e-02,3.3481263276e+01,2.0000000000e-03,5.4105861805e+00,True,False,train
Dascyllus_reticulatus,2.1000000000e+01,2.0000000000e-01,Dascyllus,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,2.2593010228e+01,9.9600647110e-01,2.0711759237e-02,2.1537052104e+01,1.5536871313e-03,2.3468508931e-02,4.8902032835e+01,2.0000000000e-03,2.4585103502e+00,True,False,train
Dasyatis_chrysonota,1.4800000000e+04,2.0000000000e-01,Dasyatis,Dasyatidae,Myliobatiformes,Chondrichthyes,Chordata,3.6173479978e+02,9.2133734076e-01,2.6466136611e-02,2.1556242753e+01,2.8615478635e+04,2.8615478637e+04,6.9274961027e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Deania_calceus,6.6000000000e+03,2.0000000000e-01,Deania,Centrophoridae,Squaliformes,Chondrichthyes,Chordata,7.1267530251e+02,7.0688544612e-01,7.4487475686e-02,3.7370813720e+01,7.8238933003e+04,7.8238933011e+04,7.2973964923e+06,2.0000000000e-03,1.0000000000e+00,False,False,test
Decapterus_kurroides,1.2000000000e+03,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,5.6454561349e+02,9.0502244269e-01,2.2336675551e-02,1.2251102058e+02,4.4290927913e-02,1.1404399979e-01,1.6851299820e+04,2.0000000000e-03,1.3663187053e+00,True,False,train
Decapterus_macarellus,1.0840000000e+03,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,1.1435975116e+02,9.2755485599e-01,2.0759904255e-02,1.9181732853e+01,9.7139933468e-02,2.8427324709e-01,3.6044842543e+04,2.0000000000e-03,1.4289195466e+00,True,False,train
Decapterus_macrosoma,3.8900000000e+02,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,1.1798925935e+02,8.7966392000e-01,2.0397840829e-02,1.8662103310e+01,1.6590958940e-01,1.6590963562e-01,2.1590412461e+04,2.0000000000e-03,1.0000000924e+00,True,False,val
Decapterus_maruadsi,2.7050000000e+02,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,6.1000189980e+01,8.9207060154e-01,2.0903744443e-02,2.0225874324e+01,2.0263873931e-01,1.7337890840e+00,1.0851298637e+04,2.0000000000e-03,2.0391323118e+00,True,False,val
Decapterus_punctatus,3.0000000000e+02,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,1.4924576867e+02,9.5843233115e-01,2.0046158798e-02,4.2911249037e+01,4.2985865171e-02,1.3830069955e-01,2.2665039344e+03,2.0000000000e-03,1.4719742993e+00,True,False,test
Decapterus_russelli,8.1930000000e+02,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,1.4199485201e+02,9.0958808496e-01,2.0594357523e-02,1.8738071082e+01,1.0871447793e-01,1.0872088804e-01,1.0140418582e+04,2.0000000000e-03,1.0000195830e+00,True,False,train
Decapterus_tabl,1.5990000000e+03,2.0000000000e-01,Decapterus,Carangidae,Carangiformes,Actinopterygii,Chordata,7.0130237097e+01,9.0488899565e-01,2.3528868344e-02,2.0626035068e+01,1.7498375273e-01,5.8535282124e+00,1.7758019866e+05,2.0000000000e-03,3.2125990451e+00,True,False,val
Deirochelys_reticularia,2.7630000000e+03,3.0000000000e-01,Deirochelys,Emydidae,Testudines,Reptilia,Chordata,4.2795879615e+02,9.2023901105e-01,2.4540028220e-02,4.1806751479e+01,2.3219436927e+03,2.3219436929e+03,5.5784761472e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Delichon_urbicum,3.2000000000e+01,2.8000000000e-01,Delichon,Hirundinidae,Passeriformes,Aves,Chordata,1.3801453667e+03,8.9839191571e-01,2.2918240053e-02,8.4656493962e+02,2.4547870576e+02,2.4547870578e+02,7.6670540763e+03,3.4685772619e-02,1.0000000000e+00,False,True,train
Delphinus_delphis,1.3600000000e+05,3.0000000000e-01,Delphinus,Delphinidae,Cetartiodactyla,Mammalia,Chordata,6.3929153928e+02,8.4658513129e-01,2.3135949337e-02,1.8224950616e+01,2.3640676714e+06,2.3640676716e+06,1.9689013009e+07,2.0000000000e-03,1.0000000000e+00,False,False,train
Deltentosteus_quadrimaculatus,9.3300000000e+00,2.0000000000e-01,Deltentosteus,Gobiidae,Gobiiformes,Actinopterygii,Chordata,5.2625534705e+01,9.3741100165e-01,2.7215379592e-02,2.6299139353e+01,6.8214725249e-02,6.8214725256e-02,7.1705723587e+02,2.0000000000e-03,1.0000000000e+00,False,False,train
Dendragapus_obscurus,1.2710000000e+03,2.8000000000e-01,Dendragapus,Phasianidae,Galliformes,Aves,Chordata,6.2123106680e+03,9.4399084901e-01,3.0258841329e-02,1.7766883000e+03,7.6983174563e+02,7.6983174571e+02,4.4744662817e+04,7.2819060646e-02,1.0000000000e+00,False,True,train
Dendrobaena_octaedra,3.8600000000e-01,1.6000000000e-01,Dendrobaena,Lumbricidae,Haplotaxida,Clitellata,Annelida,1.6270921553e+03,7.9860766025e-01,2.0810535961e-02,4.9841134707e+03,5.1622427973e-01,5.1622427979e-01,1.6778456272e+02,2.0000000000e-03,1.0000000000e+00,False,False,test
Dendrochirus_brachypterus,8.2500000000e+01,2.0000000000e-01,Dendrochirus,Scorpaenidae,Perciformes,Actinopterygii,Chordata,1.7696597023e+02,8.6958180525e-01,4.5851040683e-02,5.9314824091e+01,1.1462761327e-01,3.0612103825e-01,3.7316572670e+03,2.0000000000e-03,1.3832751743e+00,True,False,train
Dendrocolaptes_platyrostris,6.0700000000e+01,2.8000000000e-01,Dendrocolaptes,Furnariidae,Passeriformes,Aves,Chordata,2.1421972171e+03,8.6182997064e-01,4.5564647656e-02,9.4872222901e+02,2.8326389629e+03,2.8326389631e+03,2.6586008651e+04,3.8695508169e-02,1.0000000000e+00,False,True,val
Dendrocygna_autumnalis,9.7870000000e+02,2.8000000000e-01,Dendrocygna,Anatidae,Anseriformes,Aves,Chordata,9.8608212198e+03,8.5682183760e-01,2.0138816070e-02,3.6518477215e+03,1.1210953686e+03,1.1210953687e+03,4.4210309221e+04,1.4918242701e-01,1.0000000000e+00,False,True,test
Dendrocygna_bicolor,7.1650000000e+02,2.8000000000e-01,Dendrocygna,Anatidae,Anseriformes,Aves,Chordata,1.1457499609e+04,8.0495939318e-01,2.2001981124e-02,4.4784336480e+03,1.8567893977e+03,1.8567893979e+03,4.5353125823e+04,1.8391342477e-01,1.0000000000e+00,False,True,test
Dendroplex_picus,5.3000000000e+01,2.8000000000e-01,Dendroplex,Furnariidae,Passeriformes,Aves,Chordata,2.9698185830e+03,9.4171585458e-01,2.6285652542e-02,1.9670945239e+03,3.7557351573e+02,3.7557351576e+02,3.7557248987e+03,8.0845043305e-02,1.0000000000e+00,False,True,test
Dentex_congoensis,1.9400000000e+03,2.0000000000e-01,Dentex,Sparidae,Spariformes,Actinopterygii,Chordata,3.6960633168e+03,8.9588973849e-01,2.4508000000e-02,8.5987996774e+02,6.3481423997e-03,6.3481423998e-03,7.9476738744e+03,2.0000000000e-03,1.0000000000e+00,True,False,train
Dentiraja_australis,1.3000000000e+03,2.0000000000e-01,Dentiraja,Rajidae,Rajiformes,Chondrichthyes,Chordata,4.5052197500e+02,4.1516773108e-01,2.1925117921e-02,3.0339778512e+01,9.1455073986e+04,9.1455073995e+04,8.7386552887e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dentiraja_polyommata,5.4900000000e+02,2.0000000000e-01,Dentiraja,Rajidae,Rajiformes,Chondrichthyes,Chordata,2.2597301747e+02,6.7240137200e-01,3.5580000000e-02,2.4824190829e+01,1.1069853204e+04,1.1069853206e+04,4.3277647188e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dermatemys_mawii,2.2000000000e+04,3.0000000000e-01,Dermatemys,Dermatemydidae,Testudines,Reptilia,Chordata,5.8425017800e+02,7.9975354017e-01,1.2595123840e-02,3.1392435944e+01,1.0990307977e+04,1.0990307978e+04,5.0395299159e+06,2.0000000000e-03,1.0000000000e+00,False,False,test
Dermochelys_coriacea,4.2000000000e+05,2.2000000000e-01,Dermochelys,Dermochelyidae,Testudines,Reptilia,Chordata,2.3268988012e+03,4.4380136651e-01,9.9475473605e-02,2.4190707178e+01,6.0615497324e+04,6.0615497330e+04,1.1189020411e+09,2.0000000000e-03,1.0000000000e+00,False,False,train
Desmognathus_brimleyorum,1.2000000000e+01,2.8000000000e-01,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata,1.1587525855e+02,9.6352789820e-01,2.5470533367e-02,5.7318750195e+01,7.8710409707e+00,7.7724987745e+01,5.9145946179e+02,2.0000000000e-03,1.0000000000e+00,False,False,test
Desmognathus_fuscus,5.7000000000e+00,2.8000000000e-01,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata,3.9561453194e+01,9.4298612544e-01,2.4567021354e-02,2.2683057879e+01,3.2929966802e+00,3.2929966805e+00,3.2727032354e+02,2.0000000000e-03,1.0000000000e+00,False,False,train
Desmognathus_ochrophaeus,2.0000000000e+00,2.8000000000e-01,Desmognathus,Plethodontidae,Caudata,Amphibia,Chordata,3.7911893784e+01,8.0601960916e-01,3.1186976914e-02,2.5563574603e+01,2.2984736514e+01,2.2984736516e+01,9.0492116042e+02,2.0000000000e-03,1.0000000000e+00,False,False,train
Deveximentum_ruconius,8.2200000000e+00,2.0000000000e-01,Deveximentum,Leiognathidae,Acanthuriformes ,Actinopterygii,Chordata,3.2749086347e+01,8.9924332224e-01,2.8761000000e-02,1.8769877998e+01,1.2642668740e-01,2.1604267882e-01,1.4670821549e+03,2.0000000000e-03,1.1931491548e+00,True,False,train
Diaphanosoma_excisum,1.6764705882e-04,1.7000000000e-01,Diaphanosoma,Sididae,Ctenopoda,Branchiopoda,Arthropoda,1.3110927097e+02,7.0621031620e-01,2.7606634234e-02,2.1957862000e+03,1.2085362185e-02,1.2085362186e-02,8.7890161512e-02,2.0000000000e-03,1.0000000000e+00,False,False,val
Diaphanosoma_sarsi,1.3588235294e-04,1.7000000000e-01,Diaphanosoma,Sididae,Ctenopoda,Branchiopoda,Arthropoda,2.6366882437e+02,5.1349545881e-01,2.1872139181e-02,4.2127850268e+03,1.8125911095e-02,1.8125911096e-02,2.3054719433e-01,2.0000000000e-03,1.0000000000e+00,False,False,val
Dicamptodon_tenebrosus,1.1400000000e+02,2.8000000000e-01,Dicamptodon,Dicamptodontidae,Caudata,Amphibia,Chordata,1.3572105447e+02,6.5394762475e-01,1.0068095440e-02,2.6525442461e+01,1.4350315951e+02,4.6129046896e+03,3.2855243716e+04,2.0000000000e-03,1.0000000000e+00,False,False,train
Dicologlossa_cuneata,9.9210000000e+01,2.0000000000e-01,Dicologlossa,Soleidae,Pleuronectiformes,Actinopterygii,Chordata,2.4545530235e+01,9.3543709629e-01,2.1198112324e-02,2.5285507842e+01,3.9123228462e-02,4.2755645180e+00,1.5175181060e+04,2.0000000000e-03,4.7399157973e+00,True,False,test
Dilatata_dilatata,5.3000000000e-01,1.5000000000e-01,Dilatata,Planorbidae,Pulmonata,Gastropoda,Mollusca,7.2444948821e+01,9.9832960161e-01,1.6571921280e-02,2.3469605458e+02,2.3426682846e-04,2.0722220443e-03,8.5308599160e-02,2.0000000000e-03,2.0114576606e+00,True,False,train
Dinarolacerta_mosorensis,6.7600000000e+00,3.0000000000e-01,Dinarolacerta,Lacertidae,Squamata,Reptilia,Chordata,9.3647646695e+01,4.9523070461e-01,1.8465939820e-02,2.9444484946e+01,9.7220204108e+02,9.7220204117e+02,1.5749497401e+04,2.0000000000e-03,1.0000000000e+00,False,False,train
Diomedea_epomophora,1.7000000000e+04,2.8000000000e-01,Diomedea,Diomedeidae,Procellariiformes,Aves,Chordata,5.0979285242e+03,8.7111877189e-01,2.2019462091e-02,5.8852917976e+02,4.3814933410e+04,4.3814933415e+04,1.5130887287e+06,2.4076000002e-02,1.0000000000e+00,False,True,test
Diomedea_exulans,1.5000000000e+04,2.8000000000e-01,Diomedea,Diomedeidae,Procellariiformes,Aves,Chordata,4.5639454974e+03,7.0148608013e-01,2.1112865745e-02,4.2832426397e+02,9.1647882692e+04,9.1647882701e+04,4.0411316599e+06,1.8653270068e-02,1.0000000000e+00,False,True,train
Diplectrum_formosum,3.4600000000e+02,2.0000000000e-01,Diplectrum,Serranidae,Perciformes,Actinopterygii,Chordata,8.9535212303e+01,9.5000000000e-01,1.7810527207e-02,1.5178588774e+01,4.5437469537e-02,4.5437527830e-02,4.3491882817e+03,2.0000000000e-03,1.0000004265e+00,True,False,train
Diplectrum_macropoma,1.7100000000e+02,2.0000000000e-01,Diplectrum,Serranidae,Perciformes,Actinopterygii,Chordata,1.1370461511e+02,6.0380738660e-01,2.1384808774e-02,2.1254113628e+01,7.0590039554e-01,1.6880008020e+00,3.8343695931e+04,2.0000000000e-03,1.3351951713e+00,True,False,train
Diplectrum_pacificum,5.3600000000e+02,2.0000000000e-01,Diplectrum,Serranidae,Perciformes,Actinopterygii,Chordata,5.3015994402e+01,7.9271194261e-01,1.8244996208e-02,1.1690768859e+01,3.7677170019e-01,2.6601942997e+00,5.7764898784e+04,2.0000000000e-03,1.9175711404e+00,True,False,train
Diplodus_annularis,3.3000000000e+02,2.0000000000e-01,Diplodus,Sparidae,Spariformes,Actinopterygii,Chordata,1.7992443704e+02,7.8175810242e-01,5.1438767726e-02,2.4585636807e+01,2.6276646322e-01,2.6276646449e-01,2.4345437901e+04,2.0000000000e-03,1.0000000016e+00,True,False,train
Diplodus_cervinus,2.7500000000e+03,2.0000000000e-01,Diplodus,Sparidae,Spariformes,Actinopterygii,Chordata,2.0155356050e+02,8.3073126572e-01,4.6060732721e-02,1.4947984649e+01,1.7250696335e-01,1.7250696416e-01,3.8338690417e+04,2.0000000000e-03,1.0000000016e+00,True,False,train
Diplodus_sargus,1.9000000000e+03,2.0000000000e-01,Diplodus,Sparidae,Spariformes,Actinopterygii,Chordata,2.1777693954e+02,8.9436129066e-01,4.6672689179e-02,2.5995141209e+01,9.6999445404e-02,2.1772063195e-01,4.1824866458e+04,2.0000000000e-03,1.3084009522e+00,True,False,train
Diplodus_vulgaris,1.5000000000e+03,2.0000000000e-01,Diplodus,Sparidae,Spariformes,Actinopterygii,Chordata,1.9769372977e+02,9.0993606977e-01,4.8628286466e-02,3.6512862189e+01,8.7119258876e-02,5.8222498273e-01,3.2242427018e+04,2.0000000000e-03,1.8799365999e+00,True,False,val
Dipodomys_stephensi,6.5000000000e+01,3.0000000000e-01,Dipodomys,Heteromyidae,Rodentia,Mammalia,Chordata,4.0264747598e+04,9.4591901630e-01,2.0221461476e-02,6.4238777079e+04,9.4018860279e+02,9.4018860289e+02,1.7023057628e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipsosaurus_dorsalis,8.2000000000e+01,3.0000000000e-01,Dipsosaurus,Iguanidae,Squamata,Reptilia,Chordata,1.0945233119e+02,6.3290626057e-01,5.3550554618e-02,1.7195239003e+01,1.5208363154e+04,1.5208363155e+04,1.4138081911e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipturus_batis,1.1300000000e+05,2.0000000000e-01,Dipturus,Rajidae,Rajiformes,Chondrichthyes,Chordata,6.0104453181e+02,9.5995377473e-01,2.6642963898e-02,2.1630993995e+01,8.8274889890e+02,8.8274889899e+02,2.8245056868e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipturus_innominatus,7.1140000000e+04,2.0000000000e-01,Dipturus,Rajidae,Rajiformes,Chondrichthyes,Chordata,9.9348033142e+02,7.2317598491e-01,6.7373215620e-02,2.8130831203e+01,6.9106141311e+04,6.9106141318e+04,2.4704472607e+07,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipturus_kwangtungensis,3.6000000000e+03,2.0000000000e-01,Dipturus,Rajidae,Rajiformes,Chondrichthyes,Chordata,2.0975950156e+02,8.7099112426e-01,1.0569283800e-02,2.0669969370e+01,5.1276230237e+02,5.1276230243e+02,2.4332544016e+05,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipturus_laevis,1.8000000000e+04,2.0000000000e-01,Dipturus,Rajidae,Rajiformes,Chondrichthyes,Chordata,1.0130131721e+04,8.0000000000e-01,2.1870303515e-02,1.4433992529e+03,1.9255909804e+03,1.9255909806e+03,2.2463910074e+06,2.0000000000e-03,1.0000000000e+00,False,False,train
Dipturus_pullopunctatus,6.8600000000e+04,2.0000000000e-01,Dipturus,Rajidae,Rajiformes,Chondrichthyes,Chordata,6.0766016227e+02,7.2009946004e-01,3.2000000000e-02,1.8388253326e+01,5.1926735142e+04,5.1926735147e+04,3.8142903254e+06,2.0000000000e-03,1.0000000000e+00,False,False,train
Dissostichus_eleginoides,1.5700000000e+05,2.0000000000e-01,Dissostichus,Nototheniidae,Perciformes,Actinopterygii,Chordata,3.6543057296e+04,2.6986098865e-01,2.6503334084e-02,1.4295125831e+03,3.0352701800e+00,5.3376570306e+00,8.6665077402e+06,2.0000000000e-03,1.2069441715e+00,True,False,val
Dissostichus_mawsoni,1.2100000000e+05,2.0000000000e-01,Dissostichus,Nototheniidae,Perciformes,Actinopterygii,Chordata,3.8583262485e+03,4.5000000000e-01,2.8668828064e-02,3.5728827502e+02,7.5842619725e+00,4.2658772715e+02,7.8439973596e+07,2.0000000000e-03,3.7581794415e+00,True,False,val
Diuca_diuca,3.6800000000e+01,2.8000000000e-01,Diuca,Thraupidae,Passeriformes,Aves,Chordata,4.1224697467e+03,9.8456012206e-01,2.1592950520e-02,3.8135484029e+03,2.8832678877e+01,2.8832678879e+01,3.0264190675e+02,1.5623980297e-01,1.0000000000e+00,False,True,train
Dolichonyx_oryzivorus,3.5000000000e+01,2.8000000000e-01,Dolichonyx,Icteridae,Passeriformes,Aves,Chordata,4.4078226685e+03,9.5317247924e-01,2.2642596064e-02,4.0408205932e+03,9.0150266724e+01,9.0150266733e+01,9.6351907032e+02,1.6559073616e-01,1.0000000000e+00,False,True,train
Dolloidraco_longedorsalis,1.4400000000e+01,2.0000000000e-01,Dolloidraco,Artedidraconidae,Perciformes,Actinopterygii,Chordata,2.3823817424e+02,6.4361436017e-01,2.6417003838e-02,1.0130745365e+02,7.6434047034e+00,1.1007837812e+01,2.9342360655e+04,2.0000000000e-03,1.1208812094e+00,True,False,test
Donacobius_atricapilla,3.6000000000e+01,2.8000000000e-01,Donacobius,Donacobiidae,Passeriformes,Aves,Chordata,1.1603727135e+03,9.7459225886e-01,2.8026815399e-02,6.6636523507e+02,1.4385664305e+02,1.4385664306e+02,2.3160262527e+03,2.7410315226e-02,1.0000000000e+00,False,True,train
Donax_trunculus,4.3000000000e+00,9.0000000000e-02,Donax,Donacidae,Cardiida,Bivalvia,Mollusca,2.9731269229e+01,9.3315194044e-01,2.4195025940e-02,1.9932144647e+01,4.2305500660e-04,4.2305500661e-04,2.4330849068e+01,2.0000000000e-03,1.0000000000e+00,True,False,train
Doricha_eliza,3.5000000000e+00,2.8000000000e-01,Doricha,Trochilidae,Apodiformes,Aves,Chordata,3.0669733152e+01,9.6097021998e-01,4.2826420279e-02,2.0079797232e+01,8.4060416107e+01,8.4060416116e+01,3.0317045646e+02,8.2323972716e-04,1.0000000000e+00,False,True,train
Dorosoma_cepedianum,2.2400000000e+03,2.0000000000e-01,Dorosoma,Dorosomatidae,Clupeiformes,Actinopterygii,Chordata,4.1783905474e+02,9.6583377207e-01,3.2760332431e-02,6.6160009986e+01,1.1101446433e-02,3.3842752081e-02,2.1334213998e+05,2.0000000000e-03,1.4478827045e+00,True,False,test
Dosinia_exoleta,3.0850000000e+01,9.0000000000e-02,Dosinia,Veneridae,Venerida,Bivalvia,Mollusca,5.9802358761e+00,8.2770227810e-01,1.7493226799e-02,1.2529301209e+01,2.2079374567e-04,9.2691137682e-02,1.1294842359e+02,2.0000000000e-03,7.4615938449e+00,True,False,train
Dromaius_novaehollandiae,5.5000000000e+04,2.8000000000e-01,Dromaius,Dromaiidae,Casuariiformes,Aves,Chordata,9.7599434759e+03,9.2246395535e-01,2.3841211486e-02,9.5313636060e+02,1.1607457971e+04,1.1607457972e+04,1.3200977259e+06,3.9018858167e-02,1.0000000000e+00,False,True,test
Dromas_ardeola,2.9800000000e+02,2.8000000000e-01,Dromas,Dromadidae,Charadriiformes,Aves,Chordata,1.0915036752e+03,8.9920316009e-01,4.0645265582e-02,2.5199600166e+02,1.2957747775e+04,1.2957747776e+04,1.4752718132e+05,1.0278567958e-02,1.0000000000e+00,False,True,train
Dromococcyx_pavoninus,4.6400000000e+01,2.8000000000e-01,Dromococcyx,Cuculidae,Cuculiformes,Aves,Chordata,3.8528961729e+03,6.9771316187e-01,2.9944385928e-02,2.0638722737e+03,1.0070225837e+03,1.0070225838e+03,2.2706086247e+04,8.3639509960e-02,1.0000000000e+00,False,True,train
Dryobates_pubescens,2.9800000000e+01,2.8000000000e-01,Dryobates,Picidae,Piciformes,Aves,Chordata,1.9022603709e+03,6.8111111046e-01,4.0739782818e-02,8.4038454485e+02,2.8007233620e+03,2.8007233623e+03,4.0563458220e+04,3.4216087352e-02,1.0000000000e+00,False,True,val
Dryocopus_martius,2.5500000000e+02,2.8000000000e-01,Dryocopus,Picidae,Piciformes,Aves,Chordata,2.2025440264e+03,9.5821892732e-01,5.5217991671e-02,6.3416726005e+02,7.1520300250e+02,7.1520300258e+02,3.4835257945e+04,2.5839150528e-02,1.0000000000e+00,False,True,train
Dryocopus_pileatus,3.6400000000e+02,2.8000000000e-01,Dryocopus,Picidae,Piciformes,Aves,Chordata,8.8594895242e+03,8.6886920340e-01,3.4843129538e-02,3.6859778312e+03,2.3348418384e+03,2.3348418386e+03,3.1711062398e+04,1.4917523510e-01,1.0000000000e+00,False,True,train
