species,Wwi,d_V,genus,family,order,class,phylum,kap,v,s_p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,p_M,metamorphosis,estim_p_M,estim_v,estim_kap,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,estim_s_M,estim_s_p_M,estim_p_Am
Physella_gyrina,4.6666666667e-01,1.5000000000e-01,Physella,Physidae,Pulmonata,Gastropoda,Mollusca,9.9820318838e-01,2.8078053442e-01,4.8309421610e-03,3.9832997726e-04,4.2200533595e-02,2.1758181562e+00,2.0000000000e-03,4.4021229922e+00,1.3166500000e+03,True,False,True,True,False,True,True,True,True,True,True
Prionotus_punctatus,8.5000000000e+02,2.0000000000e-01,Prionotus,Triglidae,Perciformes,Actinopterygii,Chordata,6.9840911091e-01,3.0952442331e-02,2.7159915129e-01,1.1746027044e+00,5.8101199594e+01,2.4478751575e+05,2.0000000000e-03,3.7019509234e+00,5.4890010429e+00,True,True,True,True,False,True,True,True,True,True,True
Heteropneustes_fossilis,4.2000000000e+02,2.0000000000e-01,Heteropneustes,Heteropneustidae,Siluriformes,Actinopterygii,Chordata,9.7137613808e-01,2.9739115006e-02,1.0330945460e-02,7.7281213199e-02,7.7281215292e-02,8.8027004466e+02,2.0000000000e-03,1.0000000089e+00,3.2720886743e+01,True,True,True,True,False,True,True,True,True,True,True
Acanthopagrus_australis,4.3000000000e+03,2.0000000000e-01,Acanthopagrus,Sparidae,Spariformes,Actinopterygii,Chordata,7.7575797693e-01,1.7731109173e-02,4.5826434771e-02,1.1230917007e-01,3.6124043485e-01,1.5817958416e+05,2.0000000000e-03,1.4754937344e+00,1.6273047252e+01,True,True,True,True,False,True,True,True,True,True,True
Etheostoma_trisella,9.6000000000e-01,2.0000000000e-01,Etheostoma,Percidae,Perciformes,Actinopterygii,Chordata,9.7926645384e-01,2.2376050209e-02,8.5431197643e-02,4.6097210091e-02,5.4264932697e-01,5.3979521188e+01,2.0000000000e-03,2.1792444320e+00,8.3639787249e+01,True,True,True,True,False,True,True,True,True,True,True
Phacellodomus_sibilatrix,2.4000000000e+01,2.8000000000e-01,Phacellodomus,Furnariidae,Passeriformes,Aves,Chordata,8.5476603281e-01,2.8773013904e-02,8.8886741358e-01,1.2585541142e+03,1.2585541143e+03,6.7794299901e+03,6.4378777377e-02,1.0000000000e+00,1.5741037137e+03,False,True,True,True,True,True,False,True,True,True,True
Streptocephalus_siamensis,5.0000000000e-02,1.7000000000e-01,Streptocephalus,Streptocephalidae,Anostraca,Branchiopoda,Arthropoda,9.9487473270e-01,4.7714756435e-02,4.2534104433e-03,8.6825568416e-06,6.6108632650e-03,8.7019784717e-01,2.0000000000e-03,8.6311915245e+00,2.2518213911e+03,True,True,True,True,False,True,True,True,True,True,True
Pomatostomus_temporalis,7.5000000000e+01,2.8000000000e-01,Pomatostomus,Pomatostomidae,Passeriformes,Aves,Chordata,9.4451460430e-01,5.6172457675e-02,8.3706958754e-02,1.4414324540e+03,1.4414324541e+03,7.3280466186e+03,8.3109745460e-04,1.0000000000e+00,2.0282082919e+01,False,True,True,True,True,True,False,True,True,True,True
Hierococcyx_sparverioides,1.5000000000e+02,2.8000000000e-01,Hierococcyx,Cuculidae,Cuculiformes,Aves,Chordata,9.5960690488e-01,2.8790000000e-02,8.4164814087e-01,1.0032884906e+02,1.0032884907e+02,3.9002736624e+03,1.4218742730e-01,1.0000000000e+00,3.4704334205e+03,False,True,False,True,True,True,False,True,True,True,True
Gallinula_chloropus,3.2000000000e+02,2.8000000000e-01,Gallinula,Rallidae,Gruiformes,Aves,Chordata,6.8890281161e-01,3.1246547583e-02,8.9527929975e-01,7.5249309871e+03,7.5249309879e+03,2.6426921960e+05,2.1076207931e-02,1.0000000000e+00,5.1590118437e+02,False,True,True,True,True,True,False,True,True,True,True
Ciconia_ciconia,3.2962500000e+03,2.8000000000e-01,Ciconia,Ciconiidae,Ciconiiformes,Aves,Chordata,9.2942093076e-01,2.8423623043e-02,8.1249645558e-01,4.1175553989e+03,4.1175553993e+03,2.0388500134e+05,3.1711195046e-02,1.0000000000e+00,7.7714232874e+02,False,True,True,True,True,True,False,True,True,True,True
Gloydius_blomhoffii,3.9032703649e+02,3.0000000000e-01,Gloydius,Viperidae,Squamata,Reptilia,Chordata,7.5110459422e-01,2.1502451931e-02,3.2161134707e-01,7.6819196724e+03,7.6819196732e+03,2.0944839934e+05,2.0000000000e-03,1.0000000000e+00,2.3240284390e+01,False,True,True,True,False,True,False,True,True,True,True
Ara_glaucogularis,7.8400000000e+02,2.8000000000e-01,Ara,Psittacidae,Psittaciformes,Aves,Chordata,9.1097730059e-01,2.2224866438e-02,9.7179614078e-01,1.6578455706e+03,1.6578455707e+03,1.2579462360e+05,1.9975937464e-02,1.0000000000e+00,4.8013323807e+02,False,True,True,True,True,True,False,True,True,True,True
Phylloscopus_trochilus,1.0000000000e+01,2.8000000000e-01,Phylloscopus,Phylloscopidae,Passeriformes,Aves,Chordata,9.0155963898e-01,2.3679697675e-02,8.4271492082e-01,1.7831024073e+02,1.7831024075e+02,2.0175843267e+03,5.9120956370e-02,1.0000000000e+00,1.4438946336e+03,False,True,True,True,True,True,False,True,True,True,True
Anous_cerulea,5.7900000000e+01,2.8000000000e-01,Anous,Laridae,Charadriiformes,Aves,Chordata,9.7815495954e-01,3.9746670253e-02,2.5215494337e-01,7.0122493191e+02,7.0122493198e+02,6.1981362171e+03,8.3373517751e-04,1.0000000000e+00,2.0334535280e+01,False,True,True,True,True,True,False,True,True,True,True
Melanitta_deglandi,1.3610000000e+03,2.8000000000e-01,Melanitta,Anatidae,Anseriformes,Aves,Chordata,6.6176388040e-01,7.2334076434e-02,9.1298763604e-01,6.8936752544e+04,6.8936752551e+04,3.6808227235e+06,5.9374700848e-03,1.0000000000e+00,1.4491392506e+02,False,True,True,True,True,True,False,True,True,True,True
Chrysichthys_walkeri,1.6000000000e+01,2.0000000000e-01,Chrysichthys,Claroteidae,Siluriformes,Actinopterygii,Chordata,9.9436956815e-01,2.3140000000e-02,3.5804046621e-02,3.3340278324e-02,2.0973163125e-01,5.4440629057e+01,2.0000000000e-03,1.8158844163e+00,5.1814835006e+01,True,True,False,True,False,True,True,True,True,True,True
Melanosuchus_niger,1.0000000000e+05,3.0000000000e-01,Melanosuchus,Alligatoridae,Crocodilia,Reptilia,Chordata,9.1696312631e-01,1.6395168029e-01,4.7796017906e-01,6.3245937226e+04,6.3245937232e+04,2.1422351347e+07,2.0000000000e-03,1.0000000000e+00,1.5556863851e+01,False,True,True,True,False,True,False,True,True,True,True
