species,ab/m,abjx/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Millardia_meltada,1.533546e-01,1.943382e-01,2.558136e-01,9.657829e+01,3.000000e-01,3.636364e-02,3.636364e-02,6.600000e+01,3.322452e-01,3.116500e+02,False,True,6.132701e+03,9.647300e-01,2.635500e-02,4.706388e+03,7.818546e+03,1.229000e-08,3.245399e-02,1.878602e-01,2.603000e+04
Rhynchophanes_mccownii,9.197800e-03,1.376401e-02,2.289643e-02,2.663398e+02,2.800000e-01,7.992126e-02,7.992126e-02,2.540000e+01,1.576933e-01,3.147500e+02,False,False,1.252346e+03,9.653000e-01,3.780900e-02,7.483992e+02,7.315946e+03,6.437000e-12,1.869529e-01,3.531978e-01,2.361000e+03
Cinnyris_talatala,5.978570e-03,9.951173e-03,1.789638e-02,4.438996e+02,2.800000e-01,1.971831e-01,1.971831e-01,7.100000e+00,6.758285e-02,3.147500e+02,False,False,8.101826e+02,9.029900e-01,3.435900e-02,6.270027e+02,7.325790e+03,7.347000e-14,2.234631e-01,5.349411e-01,3.649000e+03
Epomops_buettikoferi,7.852993e-02,8.669884e-02,1.015285e-01,2.198651e+03,3.000000e-01,4.132231e-01,4.132231e-01,1.210000e+02,1.983034e-02,3.076500e+02,False,True,8.976074e+02,6.496500e-01,3.076200e-02,2.001478e+02,7.834705e+03,1.906000e-15,2.765934e-01,4.651735e-01,7.724000e+05
Elephas_maximus,3.009477e-02,5.301645e-02,1.675830e-01,5.921362e+03,3.000000e-01,3.366897e-02,1.258653e-01,3.178000e+06,2.212329e-03,3.089500e+02,False,True,1.521906e+03,9.455300e-01,2.756100e-02,2.040630e+01,7.826438e+03,2.801000e-12,2.921720e-01,1.772104e-01,1.312000e+08
Rhacophorus_moltrechti,1.245330e-03,1.245330e-03,1.264010e-02,5.081125e+03,2.800000e-01,5.625000e-03,1.250000e-01,6.400000e+00,2.597850e+00,2.981500e+02,False,False,1.978545e+03,7.555900e-01,3.145800e-02,1.769864e+03,7.338482e+03,5.069000e-10,1.519409e-02,5.070291e-02,2.134000e+04
Anaxyrus_fowleri,1.499566e-04,6.984094e-03,8.348329e-02,2.109836e+04,2.800000e-01,7.204117e-05,1.372213e-03,5.830000e+01,1.450350e+01,2.881500e+02,False,False,1.673745e+03,6.044700e-01,2.526500e-02,5.792893e+02,7.321552e+03,5.443000e-10,3.690371e-02,1.317831e-04,4.279000e+05
Chlamydochaera_jefferyi,6.668405e-03,1.154512e-02,2.129854e-02,4.438996e+02,2.800000e-01,7.843137e-02,7.843137e-02,5.100000e+01,4.505523e-02,3.147500e+02,False,False,1.321348e+03,9.702900e-01,4.295800e-02,6.229184e+02,7.309548e+03,2.530000e-12,1.308798e-01,4.211299e-01,5.452000e+03
Amazona_agilis,1.509645e-03,1.509645e-03,4.640760e-03,2.811543e+03,2.800000e-01,6.595995e-02,6.595995e-02,2.122500e+02,5.054164e-02,3.119500e+02,False,False,8.906697e+02,9.870300e-01,8.623000e-02,2.049130e+02,7.313744e+03,2.803000e-21,1.000000e+00,3.552270e-02,2.401000e+04
Ovis_ammon,1.476114e-01,1.760624e-01,2.325429e-01,9.786119e+02,3.000000e-01,4.857143e-02,4.857143e-02,7.000000e+04,1.328412e-02,3.111500e+02,False,True,3.728148e+03,8.990800e-01,2.773400e-01,1.188597e+02,7.862622e+03,8.126000e-18,4.026597e-02,3.367841e-01,1.362000e+08
