species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Pedetes_capensis,1.095966e-02,4.443911e-02,1.330838e+03,3.000000e-01,7.428571e-02,3.714286e-01,7.142857e-01,3.500000e+03,5.410125e-02,3.126500e+02,,True,,6.828685e+02,8.441800e-01,3.462500e-02,5.824810e+01,7.831708e+03,5.740000e-15,3.934211e-01,1.509734e-01,2.517000e+06
Anarhichas_minor,3.913894e-02,3.333333e-01,9.930808e+03,2.000000e-01,3.118280e-06,3.118280e-06,2.853047e-02,2.790000e+04,7.443503e+01,2.766500e+02,,False,,3.556813e+01,7.430300e-01,7.355100e-03,2.005630e+01,5.244123e+03,5.694000e-09,1.523793e-04,6.516523e-01,8.836000e+05
Carcharhinus_leucas,2.410659e-02,1.814641e-01,5.657202e+03,2.000000e-01,6.073171e-03,6.073171e-03,2.069756e-01,4.100000e+05,7.353451e-02,3.031500e+02,,False,,7.475160e+02,6.769000e-01,2.324000e-02,1.372000e+01,5.237000e+03,4.832000e-10,1.000000e+00,2.251176e-02,3.826000e+07
Eutrigla_gurnardus,6.650419e-04,2.777778e-01,1.165065e+04,2.000000e-01,1.076923e-06,1.076923e-06,2.846154e-02,1.300000e+03,2.317466e+02,2.791500e+02,,False,,8.482896e+01,4.708200e-01,1.897900e-01,3.013140e+01,5.219397e+03,3.735000e-08,1.805267e-03,1.656460e-02,2.384000e+05
Sardina_pilchardus,2.739726e-03,1.250000e-01,4.688525e+03,2.000000e-01,2.232143e-06,2.232143e-06,1.785714e-01,1.120000e+02,1.432434e+03,2.881500e+02,,False,,3.960024e+02,9.450200e-01,1.718100e-02,3.961953e+02,5.197365e+03,4.056000e-08,3.217366e-02,1.154331e-04,3.013000e+03
Solea_solea,8.429926e-04,9.923077e-02,1.657159e+04,2.000000e-01,4.143462e-07,8.110300e-06,1.558980e-01,1.109700e+03,1.733463e+03,2.861500e+02,,False,,2.896690e+02,7.823900e-01,7.282600e-02,3.419550e+01,5.230688e+03,2.529000e-09,5.331352e-02,3.444217e-05,1.954000e+05
Pelobates_syriacus,5.479452e-04,2.138813e-01,7.259816e+03,2.800000e-01,1.916667e-05,3.251255e-02,3.333333e-01,1.200000e+02,1.239701e+01,2.901500e+02,,False,,1.651378e+02,8.423700e-01,3.103800e-01,2.882690e+01,7.308097e+03,9.366000e-10,3.827720e-03,1.041273e-02,7.414000e+04
Macropus_rufus,1.792013e-02,6.693079e-02,1.955862e+03,3.000000e-01,2.334286e-05,1.285714e-01,4.000000e-01,3.500000e+04,1.656558e-02,3.094500e+02,,True,,6.949204e+02,8.327000e-01,9.691000e-02,2.242000e+01,7.163000e+03,6.379000e-17,1.468719e-04,2.925200e-01,1.377000e+07
Caenorhabditis_elegans,2.182540e-02,1.507937e-01,2.100000e+01,7.000000e-02,5.581395e-03,5.581395e-03,4.186047e-01,4.300000e-06,2.180000e+02,2.931500e+02,,False,,1.750133e+01,8.500000e-01,8.930000e-02,2.652000e+03,1.811000e+03,2.171000e-04,1.995018e-02,2.837524e-01,9.903000e-04
Podocnemis_unifilis,1.727179e-03,6.601289e-02,1.352032e+04,3.000000e-01,1.887931e-03,1.887931e-03,2.118966e-01,1.160000e+04,2.070957e-01,3.001500e+02,,False,,1.950802e+02,8.490600e-01,5.719300e-02,8.284600e+00,7.861023e+03,1.326000e-11,1.000000e+00,4.696970e-03,4.026000e+06
