species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,kap,v,p_M,E_Hb,E_Hp,k_J,s_M,E_Hbj,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Actinonaias_ligamentina,2.247923e+01,1.567927e+04,9.000000e-02,5.300000e-07,2.500000e+01,1.017000e+03,2.663704e+03,2.881500e+02,True,4.487679e+01,9.836460e-01,5.753541e-03,1.321855e+01,4.291879e-06,6.152669e+01,2.000000e-03,1.000000e+00,4.291880e-06,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,train
Actitis_macularius,4.491190e+00,5.625795e+02,2.800000e-01,6.050000e+00,4.560000e+01,4.800000e+01,1.450462e-01,3.141500e+02,False,1.847509e+03,8.170340e-01,2.430912e-02,9.682294e+02,1.867376e+03,1.700714e+04,3.984638e-02,1.000000e+00,1.867376e+03,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,train
Acyrtops_beryllinus,8.099636e+00,1.847729e+02,2.000000e-01,3.400000e-04,1.931776e-02,1.100000e-01,7.035662e-01,3.006500e+02,False,2.184330e+01,9.098778e-01,2.172200e-02,4.447972e+01,1.509905e-01,8.594786e+00,2.000000e-03,1.000000e+00,1.509905e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Aegolius_acadicus,5.716060e+00,7.061480e+02,2.800000e-01,7.500000e+00,1.150450e+02,1.211000e+02,9.912936e-02,3.133500e+02,False,1.104573e+03,9.282706e-01,2.312136e-02,4.219934e+02,1.038541e+03,1.938538e+04,1.731034e-02,1.000000e+00,1.038541e+03,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,train
Aegotheles_cristatus,5.307770e+00,7.921267e+02,2.800000e-01,7.000000e+00,5.700000e+01,6.000000e+01,7.574546e-02,3.128500e+02,False,1.651560e+03,8.853094e-01,2.018043e-02,8.893252e+02,1.067939e+03,1.137562e+04,3.655102e-02,1.000000e+00,1.067939e+03,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Aerodramus_bartschi,4.695335e+00,1.291929e+03,2.800000e-01,1.110000e+00,7.799500e+00,8.210000e+00,1.633323e-02,3.112500e+02,False,4.017493e+01,9.613057e-01,4.085182e-02,2.004939e+01,3.057588e+02,1.618386e+03,8.219373e-04,1.000000e+00,3.057588e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Aerodramus_brevirostris,4.082900e+00,9.795981e+02,2.800000e-01,1.800000e+00,1.211250e+01,1.275000e+01,3.266646e-02,3.112500e+02,False,8.841962e+02,9.161378e-01,2.140201e-02,6.724958e+02,3.493623e+02,3.301340e+03,2.762364e-02,1.000000e+00,3.493623e+02,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Aerodramus_fuciphagus,4.695335e+00,1.291929e+03,2.800000e-01,1.800000e+00,1.121000e+01,1.180000e+01,5.716630e-02,3.112500e+02,False,5.531044e+02,6.570179e-01,2.272363e-02,2.692009e+02,2.493209e+03,2.837308e+04,1.104463e-02,1.000000e+00,2.493209e+03,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,test
Aerodramus_hirundinaceus,4.899480e+00,6.122488e+02,2.800000e-01,1.100000e+00,9.595000e+00,1.010000e+01,1.633323e-02,3.112500e+02,False,7.432019e+02,6.714817e-01,1.386671e-02,4.815485e+02,8.481798e+02,1.283767e+04,2.004094e-02,1.000000e+00,8.481798e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,val
Aerodramus_spodiopygius,4.695335e+00,1.291929e+03,2.800000e-01,1.100000e+00,1.092500e+01,1.150000e+01,5.716630e-02,3.112500e+02,False,4.816355e+01,9.060151e-01,3.928905e-02,2.046623e+01,7.680545e+02,5.007644e+03,8.417586e-04,1.000000e+00,7.680545e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
